"Date";"District";"PCR_Pos";"PCR_Neg";"PCR_Total"
2021-01-12;"Okres Stará Ľubovňa";49;159;208
2021-01-12;"Okres Stropkov";4;19;23
2021-01-12;"Okres Svidník";12;38;50
2021-01-12;"Okres Šaľa";45;74;119
2021-01-12;"Okres Topoľčany";90;149;239
2021-01-12;"Okres Trebišov";98;220;318
2021-01-12;"Okres Trenčín";82;285;367
2021-01-12;"Okres Trnava";102;340;442
2021-01-12;"Okres Turčianske Teplice";6;14;20
2021-01-12;"Okres Tvrdošín";11;42;53
2021-01-12;"Okres Veľký Krtíš";4;42;46
2021-01-12;"Okres Vranov nad Topľou";51;249;300
2021-01-12;"Okres Zlaté Moravce";46;100;146
2021-01-12;"Okres Zvolen";27;195;222
2021-01-12;"Okres Žarnovica";4;21;25
2021-01-12;"Okres Žiar nad Hronom";17;68;85
2021-01-12;"Okres Žilina";89;312;401
2021-01-12;NA;120;335;455
2021-01-11;"Neznáme";296;1046;1342
2021-01-11;"Okres Bánovce nad Bebravou";3;44;47
2021-01-11;"Okres Banská Bystrica";18;126;144
2021-01-11;"Okres Banská Štiavnica";2;16;18
2021-01-11;"Okres Bardejov";15;96;111
2021-01-11;"Okres Bratislava I";22;253;275
2021-01-11;"Okres Bratislava II";74;402;476
2021-01-11;"Okres Bratislava III";41;282;323
2021-01-11;"Okres Bratislava IV";65;338;403
2021-01-11;"Okres Bratislava V";62;310;372
2021-01-11;"Okres Brezno";13;23;36
2021-01-11;"Okres Bytča";22;45;67
2021-01-11;"Okres Čadca";10;48;58
2021-01-11;"Okres Detva";7;69;76
2021-01-11;"Okres Dolný Kubín";12;37;49
2021-01-11;"Okres Dunajská Streda";63;109;172
